As_of_Year,Respondent_ID,Agency_Code,Respondent_Name_TS,Respondent_City_TS,Respondent_State_TS,Respondent_ZIP_Code,Parent_Name_TS,Parent_City_TS,Parent_State_TS,Parent_ZIP_Code,Assets_000_Panel
2012,0000000047,1,FIRST FINANCIAL BANK NA,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,TERRE HAUTE,IN,47807,2854392
2012,0000000056,1,"FIRST FINANCIAL BANK, N.A.",CINCINNATI,OH,45202,,,,,6663427
2012,0000000086,1,FIRST NATIONAL BANK OF GERMANT,GERMANTOWN,OH,45327-1349,,,,,52094
2012,0000000182,1,EXCHANGE NATIONAL BANK & TRUST,ATCHISON,KS,66002,,,,,330487
2012,0000000324,1,FIRST NATIONAL BANK AND TRUST,NEWTOWN,PA,18940,,,,,785017
2012,0000000325,1,"FNB BANK, N.A.",DANVILLE,PA,17821,FULTON FINANCIAL CORPORATION,LANCASTER,PA,17604,387250
2012,0000000347,1,THE 1ST NATIONAL BANK OF LACON,LACON,IL,61540,,,,,61549
2012,0000000497,1,THE FIRST NATIONAL BANK OF SUF,SUFFIELD,CT,06078,"FIRST SUFFIELD FINANCIAL, INC.",SUFFIELD,CT,06078,214349
2012,0000000644,1,THE HONESDALE NATIONAL BANK,HONESDALE,PA,18431,,,,,560670
2012,0000000661,1,"DNB FIRST, NA",DOWNINGTOWN,PA,19335,,,,,607717
2012,0000000676,1,NATIONAL GRAND BANK,MARBLEHEAD,MA,01945,,,,,261807
2012,0000000866,1,THE MILFORD NATIONAL BANK,MILFORD,MA,01757,MNB BANCORP,MILFORD,MA,01757,267516
2012,0000000929,1,THE NATIONAL UNION BANK OF KIN,KINDERHOOK,NY,12106,,,,,262853
2012,0000000976,1,PUTNAM COUNTY NATIONAL BANK,CARMEL,NY,10512-0010,,,,,160120
2012,0000001027,1,THE LYONS NATIONAL BANK,LYONS,NY,14489,,,,,554692
2012,0000001083,1,FIRST NATIONAL BANK OF GROTON,GROTON,NY,13073,,,,,129256
2012,0000001090,1,ALLIANCE BANK NA,SYRACUSE,NY,13202,ALLIANCE FINANCIAL CORPORATION,SYRCUSE,NY,13202,1403481
2012,0000001154,1,FIRST NATIONAL BANK OF OTTAWA,OTTAWA,IL,61350,FIRST OTTAWA BANCSHARES,OTTAWA,IL,61350,270539
2012,0000001194,1,ROCKPORT NATIONAL BANK,ROCKPORT,MA,01966,,,,,178759
2012,0000001195,1,NATIONAL BANK OF MIDDLEBURY,MIDDLEBURY,VT,05753-0189,,,,,284854
2012,0000001253,1,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,NY,12020-0070,BALLSTON SPA BANCORP,BALLSTON SPA,NY,12020-0070,387870
2012,0000001354,1,NBT BANK NA,NORWICH,NY,13815,NBT BANCORP INC,NORWICH,NY,13815,5558535
2012,0000001368,1,COMMUNITY NATIONAL BANK,NEWPORT,VT,05855,COMMUNITY BANCORP,NEWPORT,VT,05855,552102
2012,0000001398,1,NATIONAL BANK OF COXSACKIE,COXSACKIE,NY,12051,,,,,206436
2012,0000001467,1,LANDMARK BANK,COLUMBIA,MO,65201,,,,,1675891
2012,0000001493,1,FIRST SOUTHERN NATIONAL BANK,STANFORD,KY,40484,,,,,675932
2012,0000001750,1,FIRST NATIONAL BANK SANTA FE,SANTA FE,NM,87504-0609,,,,,734604
2012,0000001770,1,BOONE COUNTY NATIONAL BANK,COLUMBIA,MO,65201,BOONE COUNTY NATIONAL BANK,COLUMBIA,MO,65201,1355656
2012,0000001794,1,FIRST NATIONAL BANK MINNESOTA,MANKATO,MN,56001,,,,,190145
2012,0000001950,1,FIRST NATIONAL BANK,FORT SMITH,AR,72902,FIRST BANK CORP,FORT SMITH,AR,72902,1071206
2012,0000001997,1,NATIONAL BANK & TRUST COMPANY,WILMINGTON,OH,45177,"NBT FINANCIAL GROUP, INC",WILMINGTON,OH,45177,675540
2012,0000002036,1,VINTON COUNTY NATIONAL BANK,MCARTHUR,OH,45651,COMMUNITY BANCSHARES INC.,MCARTHUR,OH,45651,726083
2012,0000002068,1,FIRST DAKOTA NATIONAL BANK,YANKTON,SD,57078-0156,FIRST DAKOTA NATIONAL BANK,YANKTON,SD,57078,846417
2012,0000002137,1,NATIONAL PENN BANK,BOYERTOWN,PA,19512,NATIONAL PENN BANCSHARES INC.,BOYERTOWN,PA,19512,8395863
2012,0000002221,1,FNB OF MCMINNVILLE,MCMINNVILLE,TN,37110,FIRST MCMINNVILLE CORPORATION,MCMINNVILLE,TN,37110,455708
2012,0000002234,1,FIRST MERCHANTS BANK NA,DALEVILLE,IN,47334,FIRST MERCHANTS BANK NA,DALEVILLE,IN,47334,4154904
2012,0000002242,1,HAVANA NATIONAL BANK,HAVANA,IL,62644,,,,,190517
2012,0000002302,1,FIRST NATIONAL BANK OF BELLEVU,BELLEVUE,OH,44811-1422,,,,,134393
2012,0000002311,1,CAMDEN NATIONAL BANK,ROCKPORT,ME,04856,CAMDEN NATIONAL CORPORATION,ROCKPORT,ME,04856,2266816
2012,0000002360,1,LCNB NATIONAL BANK,LEBANON,OH,45036,,,,,787127
2012,0000002449,1,MERCHANTS NATIONAL BANK,HILLSBORO,OH,45133,,,,,570492
2012,0000002477,1,FIRST NATIONAL BANK OF WEATHER,WEATHERFORD,TX,76086,,,,,197681
2012,0000002503,1,HOMETOWN NATIONAL BANK,LASALLE,IL,61301,,,,,176070
2012,0000002515,1,THE EPHRATA NATIONAL BANK,EPHRATA,PA,17522-0457,ENB FINANCIAL CORP,EPHRATA,PA,17522,764126
2012,0000002560,1,FARMERS NB OF CYNTHIANA,CYNTHIANA,KY,41031,FARMERS NATIONAL BANK,CYNTHIANA,KY,41031,105293
2012,0000002725,1,FIRST NATIONAL BANK AND TRUST,BELOIT,WI,53511,,,,,834525
2012,0000002747,1,"HORIZON BANK, N.A.",MICHIGAN CITY,IN,46360,,,,,1546948
2012,0000002780,1,FIRST NATIONAL BANK OF WAHOO,WAHOO,NE,68066,,,,,194782
2012,0000002782,1,"INTRUST BANK, N.A.",WICHITA,KS,67202-1412,INTRUST FINANCIAL CORP,WICHITA,KS,67202-1412,4065989
2012,0000003060,1,JONES NATIONAL BANK AND TRUST,SEWARD,NE,68434,,,,,215474
2012,0000003091,1,FIRST NATIONAL BANK,WELLINGTON,KS,67152,,,,,89484
2012,0000003105,1,FIRST NATIONAL BANK,WAVERLY,IA,50677,FIRST OF WAVERLY CORP,WAVERLY,IA,50677,287837
2012,0000003124,1,THE SECURITY NATIONAL BANK OF,SIOUX CITY,IA,51101,,,,,716906
2012,0000003147,1,THE NATIONAL BANK OF MALVERN,MALVERN,PA,19355,MALVERN BANK CORP.,MALVERN,PA,19355,131457
2012,0000003175,1,"CITIZENS BANK, N.A.",FORT SCOTT,KS,66701-0899,,,,,273413
2012,0000003218,1,"CORNERBANK, N.A.",WINFIELD,KS,67156-0545,CORNERSTONE ALLIANCE LTD,WINFIELD,KS,67156-0545,276837
2012,0000003393,1,THE FIRST NATIONAL BANK IN SIO,SIOUX FALLS,SD,57104,,,,,1054086
2012,0000003434,1,FIRST NATIONAL BANK OF WAMEGO,WAMEGO,KS,66547,,,,,158838
2012,0000003509,1,"CITIZENS BANK OF KANSAS, N.A.",KINGMAN,KS,67068,,,,,226862
2012,0000003533,1,THE FNB BALLINGER,BALLINGER,TX,76821,THE FNB BALLINGER,BALLINGER,TX,76821,128697
2012,0000003543,1,FIRST NATIONAL BANK & TRUST CO,JUNCTION CITY,KS,66441,,,,,108702
2012,0000003654,1,FARMERS NATIONAL BANK,NILES,OH,44446,FARMERS NATIONAL BANC CORP,CANFIELD,OH,44406-0555,1055815
2012,0000003656,1,"CADENCE BANK, N.A.",BIRMINGHAM,AL,35203,CADENCE BANCORP LLC,HOUSTON,TX,77056,3907053
2012,0000003711,1,THE ATLANTA NATIONAL BANK,ATLANTA,IL,61723,,,,,58029
2012,0000003724,1,FIRST NATIONAL BANK FOX VALLEY,NEENAH,WI,54956,,,,,317720
2012,0000003817,1,CANANDAIGUA NATIONAL BANK,CANANDAIGUA,NY,14424,CNC CORPORATION,CANANDAIGUA,NY,14424,1726940
2012,0000003956,1,BAKER BOYER BANK,WALLA WALLA,WA,99362,BAKER BOYER BANK,WALLA WALLA,WA,99362,502019
2012,0000004013,1,THE LENOX NATIONAL BANK,LENOX,MA,01240,,,,,60029
2012,0000004039,1,THE FIRST NATIONAL BANK OF MIF,MIFFLINTOWN,PA,17059,,,,,386809
2012,0000004076,1,FIRST NATIONAL BANK  MCGREGOR,MCGREGOR,TX,76657,,,,,117587
2012,0000004093,1,FIRST NATIONAL BANK OF BASTROP,BASTROP,TX,78602,"BASTROP BANCSHARES, INC.",BASTROP,TX,78602,411931
2012,0000004097,1,NATIONAL BANK,GATESVILLE,TX,76528,,,,,477836
2012,0000004107,1,THE NATIONAL CAPITAL BANK,WASHINGTON,DC,20003,,,,,368522
2012,0000004137,1,THE STEPHENSON NAT'L BANK & TR,MARINETTE,WI,54143,,,,,291770
2012,0000004166,1,FIRST FINANCIAL BANK N.A.,ABILENE,TX,79601-5128,FIRST FINANCIAL BANKSHARES,ABILENE,TX,79601-5128,1415041
2012,0000004208,1,FIRST NATIONAL BANK OF HUNTSVI,HUNTSVILLE,TX,77340,,,,,406722
2012,0000004230,1,SUFFOLK COUNTY NATIONAL BANK,RIVERHEAD,NY,11901,SUFFOLK BANCORP,RIVERHEAD,NY,11901,1483894
2012,0000004238,1,THE FIRST NATIONAL BANK OF BEE,BEEVILLE,TX,78104,,,,,278259
2012,0000004241,1,FIRST NATL BANK OF BELLVILLE,BELLVILLE,TX,77418-0128,INDUSTRY BANCSHARES INC,INDUSTRY,TX,78944-0066,430818
2012,0000004246,1,COMANCHE NATIONAL BANK,COMANCHE,TX,76442,,,,,281670
2012,0000004265,1,LEGEND BANK,BOWIE,TX,76230,,,,,586112
2012,0000004284,1,CENTRAL NATIONAL BANK,JUNCTION CITY,KS,66441,,,,,889265
2012,0000004418,1,FIRST NATIONAL BANK IN GRAHAM,GRAHAM,TX,76450,FIRST GRAHAM BANCORP,GRAHAM,TX,76450,244883
2012,0000004596,1,OLD SECOND NATIONAL BANK,AURORA,IL,60506-4173,,,,,1939325
2012,0000004620,1,FIRST NATIONAL BANK,BERLIN,WI,54923,FIRST BERLIN BANCORP,BERLIN,WI,54923,283245
2012,0000004639,1,WOODTRUST BANK N.A.,WISCONSIN RAPIDS,WI,54495-8000,,,,,331215
2012,0000004701,1,TEXAS HERITAGE NATIONAL BANK,DAINGERFIELD,TX,75638,,,,,109144
2012,0000004742,1,"SUNFLOWER BANK, N.A.",SALINA,KS,67401,,,,,1733783
2012,0000004860,1,MIDLAND NATIONAL BANK,NEWTON,KS,67114,MIDLAND FINANCIAL CORP,NEWTON,KS,67114,132168
2012,0000004934,1,FIRST NATIONAL BANK OF CARMI,CARMI,IL,62821,"SOUTHERN ILLINOIS BANCORP, INC",CARMI,IL,62821,355782
2012,0000004975,1,BANK FIRST NATIONAL,MANITOWOC,WI,54220,,,,,904578
2012,0000004994,1,THE FIRST NATIONAL BANK,VANDALIA,IL,62471,,,,,275023
2012,0000005073,1,FARMERS & MERCHANTS BANK OF WE,KITTANNING,PA,16201,,,,,388197
2012,0000005203,1,WAGGONER NATIONAL BANK,VERNON,TX,76384,,,,,244209
2012,0000005224,1,FIRST NATIONAL BANK OF PAWNEE,PAWNEE,OK,74058,,,,,66160
